Club,Club PnL,Club PnL,,Cost target
WPC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (2,905)"
WPC,Vật tư tiêu hao,Supplies,Fixed cost," (3,918)"
WPC,Điện nước,Utilities,Fixed cost," (16,167)"
WPC,Chi phí chung khác,Other OH,Fixed cost," (14,943)"
SCC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost, (745)
SCC,Vật tư tiêu hao,Supplies,Fixed cost," (1,538)"
SCC,Điện nước,Utilities,Fixed cost," (8,089)"
SCC,Chi phí chung khác,Other OH,Fixed cost," (7,318)"
HDC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (1,607)"
HDC,Vật tư tiêu hao,Supplies,Fixed cost," (4,126)"
HDC,Điện nước,Utilities,Fixed cost," (15,690)"
HDC,Chi phí chung khác,Other OH,Fixed cost," (13,145)"
LMC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (2,143)"
LMC,Vật tư tiêu hao,Supplies,Fixed cost," (4,299)"
LMC,Điện nước,Utilities,Fixed cost," (10,601)"
LMC,Chi phí chung khác,Other OH,Fixed cost," (12,902)"
GDC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (1,076)"
GDC,Vật tư tiêu hao,Supplies,Fixed cost," (1,501)"
GDC,Điện nước,Utilities,Fixed cost," (13,766)"
GDC,Chi phí chung khác,Other OH,Fixed cost," (7,795)"
GMC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (1,443)"
GMC,Vật tư tiêu hao,Supplies,Fixed cost," (1,577)"
GMC,Điện nước,Utilities,Fixed cost," (12,366)"
GMC,Chi phí chung khác,Other OH,Fixed cost," (7,796)"
VTC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost, (695)
VTC,Vật tư tiêu hao,Supplies,Fixed cost, (885)
VTC,Điện nước,Utilities,Fixed cost," (5,180)"
VTC,Chi phí chung khác,Other OH,Fixed cost," (7,942)"
MAC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost, (765)
MAC,Vật tư tiêu hao,Supplies,Fixed cost," (1,143)"
MAC,Điện nước,Utilities,Fixed cost," (6,739)"
MAC,Chi phí chung khác,Other OH,Fixed cost," (5,834)"
