,30-Jun-26,USD,,,,,,,,,,,,,,,,,,,
,Today,6/16/2026,,,,,,,,,,,,,,,,,,,
,,,,30-Jun-25,31-Jul-25,31-Aug-25,30-Sep-25,31-Oct-25,30-Nov-25,31-Dec-25,31-Jan-26,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,30-Jun-26,30-Jun-26,,,
No.,Club,Categories,,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Target,MTD,Projection,% Target,MoM,YoY
,DNG,Chi phí lương - Califresh,Staffing - CAA," 1,152 "," 1,398 "," 1,259 "," 1,270 "," 1,351 "," 1,256 "," 1,621 "," 1,710 "," 1,435 "," 1,629 "," 1,718 "," 1,767 "," 1,788 ", 929 ," 1,743 ",97%,-1%,51%
,DNG,Chi phí lương - Spa,Staffing - Spa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,DNG,Chi phí lương - Yoga,Staffing - Yoga," 7,513 "," 7,194 "," 7,367 "," 7,354 "," 7,812 "," 7,071 "," 7,489 "," 7,706 "," 7,671 "," 7,634 "," 7,627 "," 7,644 "," 7,627 "," 4,072 "," 7,636 ",100%,0%,2%
,DNG,Chi phí lương - GX,Staffing - GX, 927 ," 1,119 "," 1,090 "," 1,015 "," 1,016 "," 1,027 "," 1,000 "," 1,053 "," 1,061 "," 1,055 "," 1,056 "," 1,055 "," 1,056 ", 563 ," 1,056 ",100%,0%,14%
,DNG,Chi phí lương - MS,Staffing - MS," 8,349 "," 9,062 "," 9,389 "," 9,451 "," 9,362 "," 8,637 "," 8,859 "," 9,021 "," 7,405 "," 8,163 "," 8,786 "," 8,667 "," 8,580 "," 4,654 "," 8,727 ",102%,1%,5%
,DNG,Chi phí lương - CMO,Staffing - CMO," 1,736 "," 1,755 "," 1,675 "," 1,694 "," 1,669 "," 1,729 "," 1,738 "," 1,885 "," 1,834 "," 1,863 "," 1,502 "," 1,640 "," 1,502 ", 838 ," 1,571 ",105%,-4%,-9%
,DNG,Chi phí cố định,Total Fixed cost," 39,378 "," 39,397 "," 41,860 "," 39,283 "," 40,661 "," 38,254 "," 42,901 "," 41,591 "," 31,420 "," 35,598 "," 36,607 "," 36,752 "," 38,698 "," 19,562 "," 36,679 ",95%,0%,-7%
,DNG,Sửa chữa & bảo trì,Repair & maintenance," 4,234 "," 1,911 "," 3,911 "," 5,708 "," 2,083 "," 2,226 "," 3,042 "," 2,147 "," 1,332 "," 1,729 "," 2,779 ", 726 ," 2,165 ", 935 ," 1,753 ",81%,141%,-59%
,DNG,Vật tư tiêu hao,Supplies," 4,479 "," 5,135 "," 4,929 "," 3,861 "," 6,756 "," 5,336 "," 7,871 "," 6,313 "," 3,916 "," 4,141 "," 5,067 "," 5,911 "," 5,959 "," 2,927 "," 5,489 ",92%,-7%,23%
,DNG,Vật tư tiêu hao,Utilities," 15,145 "," 16,475 "," 17,371 "," 15,130 "," 17,479 "," 16,160 "," 14,724 "," 15,970 "," 14,046 "," 15,774 "," 12,990 "," 15,926 "," 15,242 "," 7,711 "," 14,458 ",95%,-9%,-5%
,DNG,Chi phí chung khác,Other OH," 15,520 "," 15,877 "," 15,650 "," 14,583 "," 14,343 "," 14,532 "," 17,263 "," 17,161 "," 12,126 "," 13,954 "," 15,770 "," 14,189 "," 15,333 "," 7,989 "," 14,980 ",98%,6%,-3%
,DNG,Giặt khăn,Laundry Service," 5,341 "," 4,741 "," 4,959 "," 4,992 "," 4,631 "," 4,863 "," 4,912 "," 5,288 "," 3,571 "," 4,297 "," 4,759 "," 4,867 "," 4,813 "," 2,567 "," 4,813 ",100%,-1%,-10%
,DNG,Bảo vệ,Security," 1,486 "," 1,530 "," 1,493 "," 1,414 "," 1,719 "," 1,659 "," 1,719 "," 1,719 "," 1,329 "," 1,692 "," 1,687 "," 1,015 "," 1,351 ", 721 ," 1,351 ",100%,33%,-9%
,DNG,Vệ sinh,Cleaning_Center," 4,898 "," 4,917 "," 4,794 "," 4,688 "," 4,987 "," 5,082 "," 5,297 "," 5,633 "," 3,986 "," 5,049 "," 5,205 "," 5,280 "," 5,243 "," 2,796 "," 5,243 ",100%,-1%,7%
,DNG,Khác,Others," 3,794 "," 4,688 "," 4,404 "," 3,490 "," 3,005 "," 2,928 "," 5,335 "," 4,522 "," 3,240 "," 2,916 "," 4,118 "," 3,027 "," 3,925 "," 1,905 "," 3,573 ",91%,18%,-6%
,DNG,Chi phí cố định - Thuê,Total Fixed cost-rental," 10,538 "," 12,432 "," 12,792 "," 12,641 "," 13,791 "," 15,409 "," 12,900 "," 16,500 "," 20,072 "," 14,789 "," 16,769 "," 18,142 "," 17,455 "," 9,310 "," 17,455 ",100%,-4%,66%
,DNG,Chi phí cố định - Khác,Total Fixed costs - Others," 4,013 "," 3,664 "," 3,542 "," 3,768 "," 3,526 "," 3,160 "," 3,331 "," 2,492 "," 1,913 "," 3,037 "," 2,112 "," 1,756 "," 1,934 "," 1,031 "," 1,934 ",100%,10%,-52%
,DNG,TỔNG CHI PHÍ,TOTAL COST," 170,096 "," 174,807 "," 174,450 "," 175,753 "," 165,444 "," 150,331 "," 173,624 "," 146,342 "," 109,247 "," 146,096 "," 132,492 "," 126,163 "," 169,220 "," 62,760 "," 117,675 ",70%,-7%,-31%
,DNG,,,,,,,,,,,,,,,,,,,,
,DNG,CASH EBITDA,," 61,524 "," 32,354 "," 29,575 "," 37,376 "," 6,162 "," (19,213)"," 18,992 "," (60,238)"," (87,115)"," (9,730)"," (34,652)"," (59,336)"," 19,780 "," (33,838)"," (63,447)",-41%,-12%,-46%
,DNG,CASH EBITDA MARGIN,,27%,16%,14%,18%,4%,-15%,10%,-70%,-394%,-7%,-35%,-89%,10%,-117%,-117%,,,
,DNG,Staffing % Revenue,,17%,20%,21%,22%,26%,33%,23%,53%,199%,32%,43%,61%,22%,77%,77%,,,
,DNG,Fixed cost % Revenue,,17%,19%,21%,18%,24%,29%,22%,48%,142%,26%,37%,55%,20%,68%,68%,,,
,DNG,Fixed cost -Rental % Revenue,,5%,6%,6%,6%,8%,12%,7%,19%,91%,11%,17%,27%,9%,32%,32%,,,
,,,,,,,,,,,,,,,,,,,,,
9,TCM,Doanh thu NMS,NMS," 92,699 "," 85,609 "," 76,451 "," 89,887 "," 69,316 "," 60,620 "," 73,479 "," 52,342 "," 29,985 "," 101,628 "," 61,353 "," 64,769 "," 118,500 "," 26,220 "," 49,162 ",41%,-24%,-47%
,TCM,Doanh thu PT,PT," 86,996 "," 88,069 "," 91,994 "," 107,286 "," 87,068 "," 42,048 "," 114,394 "," 86,554 "," 7,623 "," 64,630 "," 61,394 "," 74,154 "," 121,500 "," 23,492 "," 44,048 ",36%,-41%,-49%
,TCM,Doanh thu Supplement,Supplement," 1,948 "," 1,541 "," 1,612 "," 2,154 "," 1,571 "," 1,472 "," 1,790 "," 1,640 ", 189 ," 1,408 "," 1,036 ", 942 ," 2,000 ", 645 ," 1,209 ",60%,28%,-38%
,TCM,Doanh thu Y&I,Y&I, -   , -   , -   , -   , -   ," 1,114 ", -   , -   , -   ," 1,748 ", -   ," 1,202 "," 3,000 ", -   , -   ,0%,-100%,0%
,TCM,Doanh thu Hypoxi,Hypoxi," 12,440 "," 9,890 "," 8,556 "," 6,809 "," 1,347 "," 4,283 "," 5,939 "," 2,124 ", -   ," 1,515 "," 3,778 "," 4,690 "," 5,000 ", -   , -   ,0%,-100%,-100%
,TCM,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,TCM,Doanh thu Califresh & Retail,Califresh and Retail," 4,362 "," 5,092 "," 5,075 "," 3,627 "," 4,368 "," 3,360 "," 5,360 "," 4,113 "," 1,015 "," 2,536 "," 2,531 "," 2,134 "," 5,180 "," 1,716 "," 3,217 ",62%,51%,-26%
,TCM,TỔNG DOANH THU,TOTAL REVENUE," 198,445 "," 190,200 "," 183,688 "," 209,762 "," 163,670 "," 112,898 "," 200,962 "," 146,772 "," 38,813 "," 173,467 "," 130,092 "," 147,892 "," 243,000 "," 52,073 "," 97,636 ",40%,-34%,-51%
,TCM,,,,,,,,,,,,,,,,,,,,
,TCM,Chi phí biến đổi theo doanh thu,Total Variable Cost," 62,535 "," 54,663 "," 63,557 "," 66,073 "," 54,906 "," 45,993 "," 58,158 "," 48,657 "," 9,384 "," 53,017 "," 43,007 "," 38,974 "," 71,944 "," 15,417 "," 28,907 ",40%,-26%,-54%
,TCM,Chi phí lương,Total Staffing cost," 36,051 "," 35,989 "," 38,579 "," 39,763 "," 39,966 "," 39,408 "," 46,586 "," 38,362 "," 43,186 "," 35,900 "," 34,676 "," 33,622 "," 33,293 "," 18,213 "," 34,149 ",103%,2%,-5%
,TCM,Chi phí lương - NMS,Staffing - NMS," 10,260 "," 10,211 "," 11,395 "," 11,801 "," 12,031 "," 12,460 "," 14,535 "," 11,555 "," 17,905 "," 9,946 "," 9,162 "," 8,699 "," 8,221 "," 4,763 "," 8,931 ",109%,3%,-13%
,TCM,Chi phí lương - PT,Staffing - PT," 10,243 "," 10,470 "," 11,055 "," 11,273 "," 11,587 "," 11,683 "," 10,915 "," 10,746 "," 10,028 "," 10,477 "," 10,318 "," 10,355 "," 10,027 "," 5,513 "," 10,337 ",103%,0%,1%
,TCM,Chi phí lương - Hypoxi,Staffing - Hypoxi," 1,871 "," 1,728 "," 1,853 "," 1,927 "," 1,900 "," 1,251 "," 1,737 "," 1,376 "," 1,414 "," 1,205 "," 1,006 ", 909 ," 1,006 ", 511 , 957 ,95%,5%,-49%
,TCM,Chi phí lương - Califresh,Staffing - CAA, 914 ," 1,328 "," 1,456 "," 1,354 "," 1,354 "," 1,320 "," 1,238 "," 1,395 "," 1,230 "," 1,187 "," 1,353 "," 1,282 "," 1,422 ", 703 ," 1,318 ",93%,3%,44%
,TCM,Chi phí lương - Spa,Staffing - Spa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,TCM,Chi phí lương - Yoga,Staffing - Yoga," 3,939 "," 3,330 "," 3,618 "," 3,796 "," 3,822 "," 3,778 "," 2,871 "," 3,688 "," 3,707 "," 3,681 "," 3,708 "," 2,993 "," 3,708 "," 1,787 "," 3,350 ",90%,12%,-15%
,TCM,Chi phí lương - GX,Staffing - GX, 823 , 884 , 901 , 840 , 994 , 875 , 847 ," 1,005 ", 957 , 873 , 932 , 888 , 932 , 485 , 910 ,98%,2%,11%
,TCM,Chi phí lương - MS,Staffing - MS," 7,378 "," 7,292 "," 7,488 "," 7,915 "," 7,448 "," 7,217 "," 13,591 "," 7,692 "," 7,063 "," 7,604 "," 7,334 "," 7,596 "," 7,114 "," 3,981 "," 7,465 ",105%,-2%,1%
,TCM,Chi phí lương - CMO,Staffing - CMO, 622 , 746 , 813 , 857 , 831 , 825 , 853 , 906 , 883 , 927 , 863 , 901 , 863 , 470 , 882 ,102%,-2%,42%
,TCM,Chi phí cố định,Total Fixed cost," 34,647 "," 35,103 "," 38,003 "," 35,589 "," 38,902 "," 32,764 "," 30,058 "," 31,120 "," 25,545 "," 27,294 "," 34,474 "," 32,929 "," 33,707 "," 17,974 "," 33,702 ",100%,2%,-3%
,TCM,Sửa chữa & bảo trì,Repair & maintenance, 759 ," 1,007 "," 1,990 ", 718 ," 1,434 "," 1,059 ", (73)," 1,807 "," 1,162 "," 1,323 "," 1,295 ", 441 , 603 , 463 , 868 ,144%,97%,14%
,TCM,Vật tư tiêu hao,Supplies," 3,949 "," 4,828 "," 5,097 "," 4,588 "," 5,445 "," 5,102 "," 4,818 "," 4,881 "," 3,346 "," 3,808 "," 3,908 "," 4,327 "," 4,642 "," 2,196 "," 4,118 ",89%,-5%,4%
,TCM,Vật tư tiêu hao,Utilities," 18,637 "," 17,799 "," 19,387 "," 17,868 "," 17,767 "," 15,175 "," 13,328 "," 12,927 "," 10,575 "," 10,982 "," 16,208 "," 16,300 "," 16,191 "," 8,669 "," 16,254 ",100%,0%,-13%
,TCM,Chi phí chung khác,Other OH," 11,302 "," 11,469 "," 11,529 "," 12,416 "," 14,256 "," 11,429 "," 11,986 "," 11,505 "," 10,462 "," 11,180 "," 13,063 "," 11,861 "," 12,271 "," 6,646 "," 12,462 ",102%,5%,10%
,TCM,Giặt khăn,Laundry Service," 4,607 "," 4,592 "," 4,570 "," 4,652 "," 4,503 "," 4,612 "," 4,640 "," 4,817 "," 3,475 "," 4,434 "," 4,853 "," 4,786 "," 4,820 "," 2,571 "," 4,820 ",100%,1%,5%
,TCM,Bảo vệ,Security, 718 , 760 , 756 , 755 , 951 , 859 ," 1,077 ", 938 , 894 , 768 , 766 , (41), 363 , 193 , 363 ,100%,-985%,-50%
,TCM,Vệ sinh,Cleaning_Center," 3,953 "," 3,984 "," 3,820 "," 4,947 "," 6,532 "," 3,967 "," 3,596 "," 3,836 "," 4,216 "," 4,513 "," 5,497 "," 5,338 "," 5,418 "," 2,890 "," 5,418 ",100%,1%,37%
,TCM,Khác,Others," 2,024 "," 2,133 "," 2,384 "," 2,061 "," 2,270 "," 1,991 "," 2,674 "," 1,914 "," 1,878 "," 1,465 "," 1,946 "," 1,777 "," 1,671 ", 993 ," 1,861 ",111%,5%,-8%
,TCM,Chi phí cố định - Thuê,Total Fixed cost-rental," 45,671 "," 46,592 "," 47,536 "," 46,670 "," 48,120 "," 50,201 "," 46,550 "," 47,466 "," 53,556 "," 47,218 "," 49,419 "," 48,723 "," 49,071 "," 26,171 "," 49,071 ",100%,1%,7%
,TCM,Chi phí cố định - Khác,Total Fixed costs - Others," 3,239 "," 3,279 "," 3,344 "," 3,542 "," 3,491 "," 3,043 "," 2,849 "," 4,019 "," 2,871 "," 3,280 "," 2,503 "," 3,150 "," 2,826 "," 1,507 "," 2,826 ",100%,-10%,-13%
,TCM,TỔNG CHI PHÍ,TOTAL COST," 182,143 "," 175,626 "," 191,019 "," 191,636 "," 185,385 "," 171,408 "," 184,202 "," 169,623 "," 134,542 "," 166,709 "," 164,080 "," 157,398 "," 190,841 "," 79,282 "," 148,655 ",78%,-6%,-18%
,TCM,,,,,,,,,,,,,,,,,,,,
,TCM,CASH EBITDA,," 16,302 "," 14,574 "," (7,330)"," 18,126 "," (21,716)"," (58,511)"," 16,760 "," (22,851)"," (95,730)"," 6,758 "," (33,987)"," (9,506)"," 52,159 "," (27,210)"," (51,019)",-38%,-28%,-32%
,TCM,CASH EBITDA MARGIN,,8%,8%,-4%,9%,-13%,-52%,8%,-16%,-247%,4%,-26%,-6%,21%,-52%,-52%,,,
,TCM,Staffing % Revenue,,18%,19%,21%,19%,24%,35%,23%,26%,111%,21%,27%,23%,14%,35%,35%,,,
,TCM,Fixed cost % Revenue,,17%,18%,21%,17%,24%,29%,15%,21%,66%,16%,26%,22%,14%,35%,35%,,,
,TCM,Fixed cost -Rental % Revenue,,23%,24%,26%,22%,29%,44%,23%,32%,138%,27%,38%,33%,20%,50%,50%,,,
,,,,,,,,,,,,,,,,,,,,,
10,TDC,Doanh thu NMS,NMS," 97,075 "," 84,750 "," 67,361 "," 43,780 "," 40,571 "," 34,951 "," 38,017 "," 34,538 "," 26,991 "," 68,574 "," 43,002 "," 21,425 "," 70,000 "," 11,315 "," 21,216 ",30%,-1%,-78%
,TDC,Doanh thu PT,PT," 87,111 "," 111,271 "," 105,946 "," 75,696 "," 80,665 "," 70,397 "," 80,193 "," 73,943 "," 9,949 "," 58,768 "," 61,443 "," 56,103 "," 105,000 "," 20,290 "," 38,044 ",36%,-32%,-56%
,TDC,Doanh thu Supplement,Supplement," 2,214 "," 2,696 "," 1,898 "," 2,154 "," 2,118 "," 1,797 ", 959 ," 2,249 ", -   ," 1,596 "," 1,145 ", 991 ," 5,500 ", 240 , 449 ,8%,-55%,-80%
,TDC,Doanh thu Y&I,Y&I," 4,627 "," 1,468 "," 3,562 ", 240 ," 2,162 ", 505 ," 3,113 "," 3,784 ", -   ," 1,961 ", -   ," 1,111 ", -   , -   , -   ,0%,-100%,-100%
,TDC,Doanh thu Hypoxi,Hypoxi, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,TDC,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,TDC,Doanh thu Califresh & Retail,Califresh and Retail," 5,456 "," 4,653 "," 5,813 "," 5,278 "," 4,394 "," 4,741 "," 4,117 "," 4,735 "," 1,960 "," 2,319 "," 4,948 "," 4,487 "," 4,500 "," 1,362 "," 2,554 ",57%,-43%,-53%
,TDC,TỔNG DOANH THU,TOTAL REVENUE," 196,484 "," 204,838 "," 184,581 "," 127,147 "," 129,909 "," 112,391 "," 126,399 "," 119,250 "," 38,900 "," 133,218 "," 110,538 "," 84,117 "," 185,000 "," 33,207 "," 62,263 ",34%,-26%,-68%
,TDC,,,,,,,,,,,,,,,,,,,,
,TDC,Chi phí biến đổi theo doanh thu,Total Variable Cost," 66,080 "," 80,651 "," 70,138 "," 48,828 "," 47,346 "," 43,125 "," 43,084 "," 40,563 "," 7,644 "," 45,157 "," 36,193 "," 29,690 "," 62,767 "," 11,266 "," 21,125 ",34%,-29%,-68%
,TDC,Chi phí lương,Total Staffing cost," 27,628 "," 27,913 "," 27,571 "," 29,591 "," 27,764 "," 28,931 "," 29,470 "," 29,991 "," 29,656 "," 30,906 "," 29,297 "," 29,231 "," 28,299 "," 15,607 "," 29,264 ",103%,0%,6%
,TDC,Chi phí lương - NMS,Staffing - NMS," 5,866 "," 5,641 "," 5,644 "," 6,461 "," 5,477 "," 5,224 "," 6,287 "," 6,230 "," 7,087 "," 7,534 "," 5,907 "," 5,402 "," 5,113 "," 3,016 "," 5,654 ",111%,5%,-4%
,TDC,Chi phí lương - PT,Staffing - PT," 9,750 "," 9,958 "," 9,710 "," 10,570 "," 10,032 "," 11,539 "," 11,498 "," 11,402 "," 10,941 "," 11,112 "," 10,569 "," 10,107 "," 10,479 "," 5,514 "," 10,338 ",99%,2%,6%
,TDC,Chi phí lương - Hypoxi,Staffing - Hypoxi, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,TDC,Chi phí lương - Califresh,Staffing - CAA," 1,135 "," 1,381 "," 1,006 "," 1,227 "," 1,463 "," 1,203 "," 1,227 "," 1,368 "," 1,395 "," 1,375 "," 1,227 "," 1,297 "," 1,296 ", 673 ," 1,262 ",97%,-3%,11%
,TDC,Chi phí lương - Spa,Staffing - Spa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,TDC,Chi phí lương - Yoga,Staffing - Yoga," 3,929 "," 3,328 "," 3,628 "," 3,652 "," 3,636 "," 3,748 "," 2,686 "," 3,672 "," 3,640 "," 3,674 "," 3,655 "," 3,648 "," 3,655 "," 1,947 "," 3,651 ",100%,0%,-7%
,TDC,Chi phí lương - GX,Staffing - GX, 678 , 827 , 615 , 647 , 641 , 624 , 597 , 606 , 686 , 688 , 697 , 725 , 697 , 379 , 711 ,102%,-2%,5%
,TDC,Chi phí lương - MS,Staffing - MS," 5,710 "," 6,214 "," 6,490 "," 6,560 "," 6,037 "," 6,088 "," 6,675 "," 6,157 "," 5,374 "," 5,886 "," 6,502 "," 7,007 "," 6,318 "," 3,602 "," 6,754 ",107%,-4%,18%
,TDC,Chi phí lương - CMO,Staffing - CMO, 560 , 563 , 479 , 474 , 477 , 504 , 500 , 555 , 532 , 636 , 741 ," 1,044 ", 741 , 476 , 892 ,120%,-15%,59%
,TDC,Chi phí cố định,Total Fixed cost," 18,573 "," 20,473 "," 21,542 "," 20,626 "," 22,538 "," 22,085 "," 16,382 "," 21,266 "," 16,473 "," 18,436 "," 19,668 "," 18,834 "," 19,701 "," 10,267 "," 19,251 ",98%,2%,4%
,TDC,Sửa chữa & bảo trì,Repair & maintenance, 439 ," 1,351 "," 1,099 ", 939 ," 1,781 "," 1,615 ", 336 ," 1,697 "," 1,101 ", 833 ," 1,134 ", 732 , 817 , 498 , 933 ,114%,27%,112%
,TDC,Vật tư tiêu hao,Supplies," 2,021 "," 2,121 "," 2,202 "," 2,257 "," 2,291 "," 2,145 "," 1,978 "," 2,213 "," 1,462 "," 1,483 "," 1,964 "," 1,655 "," 2,042 ", 965 ," 1,810 ",89%,9%,-10%
,TDC,Vật tư tiêu hao,Utilities," 7,300 "," 8,052 "," 8,197 "," 8,116 "," 8,962 "," 8,454 "," 7,905 "," 8,317 "," 5,434 "," 6,675 "," 7,673 "," 8,102 "," 7,940 "," 4,207 "," 7,888 ",99%,-3%,8%
,TDC,Chi phí chung khác,Other OH," 8,812 "," 8,950 "," 10,044 "," 9,314 "," 9,504 "," 9,871 "," 6,162 "," 9,039 "," 8,476 "," 9,445 "," 8,897 "," 8,345 "," 8,902 "," 4,598 "," 8,621 ",97%,3%,-2%
,TDC,Giặt khăn,Laundry Service," 2,507 "," 2,594 "," 2,707 "," 2,578 "," 2,596 "," 2,701 "," 2,704 "," 2,663 "," 1,830 "," 2,585 "," 2,848 "," 2,707 "," 2,778 "," 1,481 "," 2,778 ",100%,3%,11%
,TDC,Bảo vệ,Security, 938 , 904 ," 1,632 "," 1,632 "," 1,583 "," 1,637 "," (1,894)", 935 , 888 ," 1,002 ", 271 , 313 , 292 , 156 , 292 ,100%,-7%,-69%
,TDC,Vệ sinh,Cleaning_Center," 3,527 "," 3,514 "," 3,498 "," 3,494 "," 3,504 "," 3,801 "," 3,819 "," 4,047 "," 4,039 "," 4,029 "," 4,001 "," 4,014 "," 4,007 "," 2,137 "," 4,007 ",100%,0%,14%
,TDC,Khác,Others," 1,840 "," 1,937 "," 2,207 "," 1,610 "," 1,822 "," 1,732 "," 1,534 "," 1,394 "," 1,719 "," 1,829 "," 1,777 "," 1,310 "," 1,825 ", 823 ," 1,544 ",85%,18%,-16%
,TDC,Chi phí cố định - Thuê,Total Fixed cost-rental," 26,289 "," 26,529 "," 28,186 "," 30,577 "," 30,180 "," 30,859 "," 30,319 "," 29,467 "," 34,034 "," 29,637 "," 32,280 "," 33,471 "," 32,875 "," 17,533 "," 32,875 ",100%,-2%,25%
,TDC,Chi phí cố định - Khác,Total Fixed costs - Others," 2,913 "," 3,019 "," 3,104 "," 3,235 "," 2,167 "," 2,297 "," 2,244 "," 3,024 "," 2,506 "," 2,326 "," 1,965 "," 1,849 "," 1,907 "," 1,017 "," 1,907 ",100%,3%,-35%
,TDC,TỔNG CHI PHÍ,TOTAL COST," 141,483 "," 158,584 "," 150,541 "," 132,857 "," 129,995 "," 127,298 "," 121,500 "," 124,313 "," 90,312 "," 126,462 "," 119,403 "," 113,075 "," 145,549 "," 55,691 "," 104,421 ",72%,-8%,-26%
,TDC,,,,,,,,,,,,,,,,,,,,
,TDC,CASH EBITDA,," 55,001 "," 46,253 "," 34,040 "," (5,709)", (87)," (14,907)"," 4,899 "," (5,062)"," (51,412)"," 6,756 "," (8,864)"," (28,958)"," 39,451 "," (22,484)"," (42,158)",-38%,-18%,-42%
,TDC,CASH EBITDA MARGIN,,28%,23%,18%,-4%,0%,-13%,4%,-4%,-132%,5%,-8%,-34%,21%,-68%,-68%,,,
,TDC,Staffing % Revenue,,14%,14%,15%,23%,21%,26%,23%,25%,76%,23%,27%,35%,15%,47%,47%,,,
,TDC,Fixed cost % Revenue,,9%,10%,12%,16%,17%,20%,13%,18%,42%,14%,18%,22%,11%,31%,31%,,,
,TDC,Fixed cost -Rental % Revenue,,13%,13%,15%,24%,23%,27%,24%,25%,87%,22%,29%,40%,18%,53%,53%,,,
,,,,,,,,,,,,,,,,,,,,,
11,VVO,Doanh thu NMS,NMS," 84,684 "," 73,501 "," 56,112 "," 69,664 "," 62,843 "," 56,998 "," 50,145 "," 45,055 "," 31,804 "," 75,673 "," 49,708 "," 61,365 "," 94,000 "," 16,222 "," 30,415 ",32%,-50%,-64%
,VVO,Doanh thu PT,PT," 94,797 "," 74,534 "," 85,054 "," 99,988 "," 80,956 "," 96,570 "," 103,182 "," 53,639 "," 20,261 "," 90,584 "," 84,365 "," 55,851 "," 106,300 "," 20,480 "," 38,400 ",36%,-31%,-59%
,VVO,Doanh thu Supplement,Supplement," 1,376 "," 3,064 "," 2,224 "," 2,160 "," 4,386 "," 1,605 "," 1,743 "," 1,265 ", 472 , 933 , 894 , 792 ," 6,000 ", -   , -   ,0%,-100%,-100%
,VVO,Doanh thu Y&I,Y&I, 764 ," 1,818 "," 2,687 "," 1,049 "," 2,162 ", -   ," 2,212 "," 2,304 ", -   ," 1,919 "," 1,812 "," 2,293 ", -   ," 1,189 "," 2,230 ",0%,-3%,192%
,VVO,Doanh thu Hypoxi,Hypoxi," 8,069 "," 11,848 "," 3,777 "," 9,929 "," 9,281 "," 3,704 "," 2,114 ", 623 ," 3,125 "," 2,141 "," 1,193 ", 168 ," 8,000 ", 386 , 723 ,9%,330%,-91%
,VVO,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,VVO,Doanh thu Califresh & Retail,Califresh and Retail," 5,686 "," 6,093 "," 6,532 "," 5,626 "," 6,140 "," 6,374 "," 5,807 "," 6,136 "," 3,483 "," 4,324 "," 6,482 "," 6,691 "," 6,700 "," 3,036 "," 5,692 ",85%,-15%,0%
,VVO,TỔNG DOANH THU,TOTAL REVENUE," 195,376 "," 170,857 "," 156,387 "," 188,416 "," 165,768 "," 165,250 "," 165,204 "," 109,022 "," 59,146 "," 175,575 "," 144,454 "," 127,160 "," 213,000 "," 41,312 "," 77,461 ",36%,-39%,-60%
,VVO,,,,,,,,,,,,,,,,,,,,
,VVO,Chi phí biến đổi theo doanh thu,Total Variable Cost," 64,609 "," 61,876 "," 56,362 "," 64,929 "," 59,305 "," 56,810 "," 61,036 "," 39,905 "," 15,024 "," 57,291 "," 41,868 "," 37,953 "," 68,919 "," 13,367 "," 25,063 ",36%,-34%,-61%
,VVO,Chi phí lương,Total Staffing cost," 33,009 "," 32,850 "," 34,557 "," 34,752 "," 34,515 "," 36,385 "," 35,725 "," 38,293 "," 35,254 "," 36,188 "," 33,454 "," 36,369 "," 32,193 "," 18,619 "," 34,911 ",108%,-4%,6%
,VVO,Chi phí lương - NMS,Staffing - NMS," 7,128 "," 7,390 "," 8,736 "," 8,580 "," 8,759 "," 9,681 "," 9,750 "," 9,943 "," 9,296 "," 9,160 "," 6,712 "," 8,835 "," 5,668 "," 4,146 "," 7,773 ",137%,-12%,9%
,VVO,Chi phí lương - PT,Staffing - PT," 10,741 "," 10,373 "," 10,336 "," 10,085 "," 10,775 "," 11,465 "," 10,657 "," 10,358 "," 10,616 "," 10,919 "," 10,264 "," 10,954 "," 10,174 "," 5,658 "," 10,609 ",104%,-3%,-1%
,VVO,Chi phí lương - Hypoxi,Staffing - Hypoxi," 1,480 "," 1,218 "," 1,725 "," 1,532 "," 1,255 "," 1,435 ", 975 ," 1,976 ", 607 ," 1,058 "," 1,065 "," 1,058 "," 1,065 ", 566 ," 1,061 ",100%,0%,-28%
,VVO,Chi phí lương - Califresh,Staffing - CAA," 1,118 "," 1,179 "," 1,136 "," 1,183 "," 1,015 "," 1,009 "," 1,082 "," 1,286 ", 774 ," 1,112 "," 1,295 "," 1,262 "," 1,364 ", 682 ," 1,279 ",94%,1%,14%
,VVO,Chi phí lương - Spa,Staffing - Spa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
