,30-Jun-26,USD,,,,,,,,,,,,,,,,,,,
,Today,6/16/2026,,,,,,,,,,,,,,,,,,,
,,,,30-Jun-25,31-Jul-25,31-Aug-25,30-Sep-25,31-Oct-25,30-Nov-25,31-Dec-25,31-Jan-26,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,30-Jun-26,30-Jun-26,,,
No.,Club,Categories,,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Target,MTD,Projection,% Target,MoM,YoY
,HVP,Vật tư tiêu hao,Utilities," 8,448 "," 9,169 "," 9,723 "," 9,743 "," 10,469 "," 10,137 "," 9,561 "," 10,030 "," 8,144 "," 8,661 "," 10,783 "," 8,359 "," 9,730 "," 5,104 "," 9,571 ",98%,14%,13%
,HVP,Chi phí chung khác,Other OH," 14,640 "," 13,028 "," 14,115 "," 16,073 "," 13,991 "," 14,853 "," 13,943 "," 14,085 "," 11,522 "," 12,206 "," 12,872 "," 12,524 "," 13,747 "," 6,772 "," 12,698 ",92%,1%,-13%
,HVP,Giặt khăn,Laundry Service," 3,994 "," 3,971 "," 4,792 "," 4,762 "," 4,795 "," 4,936 "," 4,806 "," 4,795 "," 3,339 "," 4,448 "," 5,080 "," 4,740 "," 4,910 "," 2,619 "," 4,910 ",100%,4%,23%
,HVP,Bảo vệ,Security," 1,034 ", 997 ," 1,026 "," 1,025 ", 994 ," 1,028 ", 995 ," 1,034 ", 963 , 932 , 431 , 431 , 431 , 230 , 431 ,100%,0%,-58%
,HVP,Vệ sinh,Cleaning_Center," 4,143 "," 4,129 "," 4,109 "," 4,105 "," 4,116 "," 4,431 "," 4,429 "," 4,606 "," 3,579 "," 4,619 "," 4,573 "," 4,601 "," 4,587 "," 2,446 "," 4,587 ",100%,0%,11%
,HVP,Khác,Others," 5,468 "," 3,931 "," 4,189 "," 6,182 "," 4,085 "," 4,458 "," 3,714 "," 3,651 "," 3,641 "," 2,208 "," 2,788 "," 2,752 "," 3,819 "," 1,477 "," 2,770 ",73%,1%,-49%
,HVP,Chi phí cố định - Thuê,Total Fixed cost-rental," 67,011 "," 69,847 "," 69,786 "," 70,476 "," 73,387 "," 74,107 "," 74,575 "," 75,016 "," 83,407 "," 80,126 "," 82,708 "," 80,633 "," 81,670 "," 43,558 "," 81,670 ",100%,1%,22%
,HVP,Chi phí cố định - Khác,Total Fixed costs - Others," 3,875 "," 4,398 "," 3,850 "," 4,697 "," 4,128 "," 4,206 "," 4,262 "," 4,519 "," 6,125 "," 4,309 "," 3,496 "," 3,525 "," 3,510 "," 1,872 "," 3,510 ",100%,0%,-9%
,HVP,TỔNG CHI PHÍ,TOTAL COST," 244,843 "," 235,547 "," 242,200 "," 251,242 "," 242,581 "," 231,809 "," 247,229 "," 221,634 "," 174,949 "," 245,215 "," 213,737 "," 192,166 "," 246,464 "," 89,493 "," 167,799 ",68%,-13%,-31%
,HVP,,,,,,,,,,,,,,,,,,,,
,HVP,CASH EBITDA,," 57,216 "," 22,188 "," 39,530 "," 18,456 "," 4,749 "," (4,086)"," 32,483 "," (48,933)"," (73,263)"," 8,846 "," (5,491)"," (22,775)"," 44,536 "," (61,985)"," (116,222)",-50%,-57%,-51%
,HVP,CASH EBITDA MARGIN,,19%,9%,14%,7%,2%,-2%,12%,-28%,-72%,3%,-3%,-13%,15%,-225%,-225%,,,
,HVP,Staffing % Revenue,,13%,15%,15%,16%,16%,19%,15%,31%,43%,16%,18%,21%,13%,70%,70%,,,
,HVP,Fixed cost % Revenue,,10%,12%,11%,13%,13%,15%,11%,19%,27%,11%,15%,17%,11%,58%,58%,,,
,HVP,Fixed cost -Rental % Revenue,,22%,27%,25%,26%,30%,33%,27%,43%,82%,32%,40%,48%,28%,158%,158%,,,
,,,,,,,,,,,,,,,,,,,,,
2,SCT,Doanh thu NMS,NMS," 132,499 "," 112,805 "," 134,287 "," 110,807 "," 130,854 "," 92,493 "," 116,855 "," 74,682 "," 60,556 "," 104,429 "," 132,110 "," 79,228 "," 135,000 "," 39,932 "," 74,873 ",55%,-5%,-43%
,SCT,Doanh thu PT,PT," 58,682 "," 43,955 "," 58,356 "," 53,262 "," 75,973 "," 59,742 "," 91,301 "," 23,400 "," 5,471 "," 50,349 "," 35,537 "," 26,798 "," 85,000 "," 10,267 "," 19,250 ",23%,-28%,-67%
,SCT,Doanh thu Supplement,Supplement," 3,082 "," 1,887 "," 1,539 ", 986 , 892 , 646 , 907 , 141 , -   , 904 , 708 , 542 ," 6,000 ", -   , -   ,0%,-100%,-100%
,SCT,Doanh thu Y&I,Y&I, -   , -   ," 2,051 ", -   , -   , 758 ," 1,229 ", 154 , 535 , 335 , -   ," 1,111 ", -   , -   , -   ,0%,-100%,0%
,SCT,Doanh thu Hypoxi,Hypoxi," 6,327 "," 1,227 "," 5,934 "," 10,599 "," 14,531 "," 8,700 "," 5,953 "," 5,731 "," 1,080 "," 4,115 "," 1,185 "," 1,589 "," 10,000 "," 2,454 "," 4,601 ",46%,190%,-27%
,SCT,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,SCT,Doanh thu Califresh & Retail,Califresh and Retail," 5,248 "," 5,079 "," 5,150 "," 3,166 "," 5,340 "," 2,834 "," 5,732 "," 2,855 "," 2,291 "," 2,052 "," 3,421 "," 2,731 "," 6,000 "," 1,538 "," 2,883 ",48%,6%,-45%
,SCT,TỔNG DOANH THU,TOTAL REVENUE," 205,839 "," 164,954 "," 207,317 "," 178,820 "," 227,589 "," 165,173 "," 221,977 "," 106,963 "," 69,933 "," 162,184 "," 172,960 "," 112,000 "," 242,000 "," 54,191 "," 101,608 ",42%,-9%,-51%
,SCT,,,,,,,,,,,,,,,,,,,,
