Check in,,,,
Month,Date,Day,Club,Checked-in
45838,45814,6,JVJ,133
45838,45814,6,TTC,0
45838,45815,7,HVP,781
45838,45815,7,SCT,1392
45838,45815,7,CPT,881
45838,45815,7,PCO,830
45838,45815,7,RCC,1114
45838,45815,7,FDC,505
45838,45815,7,BDS,406
45838,45815,7,DNG,1132
45838,45815,7,TCM,1334
45838,45815,7,TDC,594
45838,45815,7,VVO,766
45838,45815,7,LTC,721
45838,45815,7,PPC,372
45838,45815,7,PBH,402
45838,45815,7,NTC,687
45838,45815,7,CTC,775
45838,45815,7,AMY,476
45838,45815,7,MPC,1174
45838,45815,7,PCH,746
45838,45815,7,CVC,359
45838,45815,7,HDY,336
45838,45815,7,TDU,773
45838,45815,7,GVC,598
45838,45815,7,WPC,1138
45838,45815,7,SCC,665
45838,45815,7,HDC,1039
45838,45815,7,LMC,795
45838,45815,7,GDC,563
45838,45815,7,GMC,527
45838,45815,7,VTC,343
45838,45815,7,MAC,414
45838,45815,7,AMU,545
45838,45815,7,VSC,487
45838,45815,7,VMC,518
45838,45815,7,JCQ,0
45838,45815,7,JVJ,85
45838,45815,7,TTC,0
45838,45816,8,HVP,688
45838,45816,8,SCT,1263
45838,45816,8,CPT,745
45838,45816,8,PCO,755
45838,45816,8,RCC,1118
45838,45816,8,FDC,419
45838,45816,8,BDS,355
45838,45816,8,DNG,952
45838,45816,8,TCM,1351
45838,45816,8,TDC,532
45838,45816,8,VVO,723
45838,45816,8,LTC,670
45838,45816,8,PPC,404
45838,45816,8,PBH,343
45838,45816,8,NTC,581
45838,45816,8,CTC,782
45838,45816,8,AMY,388
45838,45816,8,MPC,1120
45838,45816,8,PCH,761
45838,45816,8,CVC,258
45838,45816,8,HDY,302
45838,45816,8,TDU,791
45838,45816,8,GVC,529
45838,45816,8,WPC,1211
45838,45816,8,SCC,547
45838,45816,8,HDC,897
45838,45816,8,LMC,742
45838,45816,8,GDC,519
45838,45816,8,GMC,492
45838,45816,8,VTC,304
45838,45816,8,MAC,431
45838,45816,8,AMU,443
45838,45816,8,VSC,498
45838,45816,8,VMC,504
45838,45816,8,JCQ,0
45838,45816,8,JVJ,59
45838,45816,8,TTC,0
45838,45817,9,HVP,1020
45838,45817,9,SCT,1534
45838,45817,9,CPT,1377
45838,45817,9,PCO,1130
45838,45817,9,RCC,1402
45838,45817,9,FDC,630
45838,45817,9,BDS,576
45838,45817,9,DNG,1402
45838,45817,9,TCM,1627
45838,45817,9,TDC,846
45838,45817,9,VVO,1016
45838,45817,9,LTC,1148
45838,45817,9,PPC,701
45838,45817,9,PBH,652
45838,45817,9,NTC,869
45838,45817,9,CTC,1185
45838,45817,9,AMY,657
45838,45817,9,MPC,1431
45838,45817,9,PCH,1044
45838,45817,9,CVC,492
45838,45817,9,HDY,615
45838,45817,9,TDU,1056
45838,45817,9,GVC,819
45838,45817,9,WPC,1462
45838,45817,9,SCC,975
45838,45817,9,HDC,1321
45838,45817,9,LMC,906
45838,45817,9,GDC,763
45838,45817,9,GMC,645
45838,45817,9,VTC,428
45838,45817,9,MAC,559
45838,45817,9,AMU,637
45838,45817,9,VSC,739
45838,45817,9,VMC,698
45838,45817,9,JCQ,0
45838,45817,9,JVJ,147
45838,45817,9,TTC,0
45838,45818,10,HVP,928
45838,45818,10,SCT,1461
45838,45818,10,CPT,1307
45838,45818,10,PCO,958
45838,45818,10,RCC,1421
45838,45818,10,FDC,468
45838,45818,10,BDS,530
45838,45818,10,DNG,1322
45838,45818,10,TCM,1636
45838,45818,10,TDC,658
45838,45818,10,VVO,829
45838,45818,10,LTC,977
45838,45818,10,PPC,573
45838,45818,10,PBH,578
45838,45818,10,NTC,1004
45838,45818,10,CTC,912
45838,45818,10,AMY,555
45838,45818,10,MPC,1331
45838,45818,10,PCH,1015
45838,45818,10,CVC,449
45838,45818,10,HDY,600
45838,45818,10,TDU,990
45838,45818,10,GVC,676
45838,45818,10,WPC,1388
45838,45818,10,SCC,873
45838,45818,10,HDC,1312
45838,45818,10,LMC,765
45838,45818,10,GDC,669
45838,45818,10,GMC,507
45838,45818,10,VTC,454
45838,45818,10,MAC,572
45838,45818,10,AMU,489
45838,45818,10,VSC,731
45838,45818,10,VMC,518
45838,45818,10,JCQ,0
45838,45818,10,JVJ,143
45838,45818,10,TTC,0
45838,45819,11,HVP,1043
45838,45819,11,SCT,1520
45838,45819,11,CPT,1356
45838,45819,11,PCO,1160
45838,45819,11,RCC,1455
45838,45819,11,FDC,678
45838,45819,11,BDS,633
45838,45819,11,DNG,1011
45838,45819,11,TCM,1642
45838,45819,11,TDC,765
45838,45819,11,VVO,1002
45838,45819,11,LTC,1152
45838,45819,11,PPC,676
45838,45819,11,PBH,681
45838,45819,11,NTC,885
45838,45819,11,CTC,1216
45838,45819,11,AMY,701
45838,45819,11,MPC,1415
45838,45819,11,PCH,1004
45838,45819,11,CVC,513
45838,45819,11,HDY,544
45838,45819,11,TDU,1198
45838,45819,11,GVC,807
45838,45819,11,WPC,1489
45838,45819,11,SCC,1005
45838,45819,11,HDC,1243
45838,45819,11,LMC,948
45838,45819,11,GDC,803
45838,45819,11,GMC,690
45838,45819,11,VTC,456
45838,45819,11,MAC,607
45838,45819,11,AMU,647
45838,45819,11,VSC,734
45838,45819,11,VMC,681
45838,45819,11,JCQ,0
45838,45819,11,JVJ,157
45838,45819,11,TTC,0
45838,45820,12,HVP,1007
45838,45820,12,SCT,1550
45838,45820,12,CPT,1292
45838,45820,12,PCO,1094
45838,45820,12,RCC,1479
45838,45820,12,FDC,636
45838,45820,12,BDS,606
45838,45820,12,DNG,798
45838,45820,12,TCM,1533
45838,45820,12,TDC,678
45838,45820,12,VVO,1001
45838,45820,12,LTC,1124
45838,45820,12,PPC,658
45838,45820,12,PBH,614
45838,45820,12,NTC,931
45838,45820,12,CTC,1143
45838,45820,12,AMY,675
45838,45820,12,MPC,1362
45838,45820,12,PCH,975
45838,45820,12,CVC,468
45838,45820,12,HDY,594
45838,45820,12,TDU,1146
45838,45820,12,GVC,790
45838,45820,12,WPC,1437
45838,45820,12,SCC,989
45838,45820,12,HDC,1280
45838,45820,12,LMC,890
45838,45820,12,GDC,792
45838,45820,12,GMC,654
45838,45820,12,VTC,410
45838,45820,12,MAC,574
45838,45820,12,AMU,626
45838,45820,12,VSC,646
45838,45820,12,VMC,671
45838,45820,12,JCQ,0
45838,45820,12,JVJ,125
45838,45820,12,TTC,0
45838,45821,13,HVP,980
45838,45821,13,SCT,1458
45838,45821,13,CPT,1263
45838,45821,13,PCO,1023
45838,45821,13,RCC,1347
45838,45821,13,FDC,582
45838,45821,13,BDS,578
45838,45821,13,DNG,1189
45838,45821,13,TCM,1498
45838,45821,13,TDC,717
45838,45821,13,VVO,855
45838,45821,13,LTC,999
45838,45821,13,PPC,610
45838,45821,13,PBH,597
45838,45821,13,NTC,925
45838,45821,13,CTC,1050
45838,45821,13,AMY,644
45838,45821,13,MPC,1358
45838,45821,13,PCH,923
45838,45821,13,CVC,451
45838,45821,13,HDY,532
45838,45821,13,TDU,966
45838,45821,13,GVC,706
45838,45821,13,WPC,1455
45838,45821,13,SCC,899
45838,45821,13,HDC,1188
45838,45821,13,LMC,803
45838,45821,13,GDC,713
45838,45821,13,GMC,592
45838,45821,13,VTC,399
45838,45821,13,MAC,520
45838,45821,13,AMU,595
45838,45821,13,VSC,729
45838,45821,13,VMC,630
45838,45821,13,JCQ,0
45838,45821,13,JVJ,139
45838,45821,13,TTC,0
45838,45822,14,HVP,815
45838,45822,14,SCT,1146
45838,45822,14,CPT,793
45838,45822,14,PCO,872
45838,45822,14,RCC,1330
45838,45822,14,FDC,541
45838,45822,14,BDS,438
45838,45822,14,DNG,1177
45838,45822,14,TCM,1308
45838,45822,14,TDC,601
45838,45822,14,VVO,745
45838,45822,14,LTC,766
45838,45822,14,PPC,454
45838,45822,14,PBH,385
45838,45822,14,NTC,693
45838,45822,14,CTC,875
45838,45822,14,AMY,473
45838,45822,14,MPC,1159
45838,45822,14,PCH,768
45838,45822,14,CVC,331
45838,45822,14,HDY,373
45838,45822,14,TDU,839
45838,45822,14,GVC,606
45838,45822,14,WPC,1312
45838,45822,14,SCC,745
45838,45822,14,HDC,1034
45838,45822,14,LMC,866
45838,45822,14,GDC,573
